Lch,Wch,Tch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
15.16,48.17,7.82,0.83,1.89,1.08324157587987e-7,1.46481981532362e-9,0.1676745015814113,78.04866669595081,-999.0,-999.0,-999.0,-999.0
28.85,70.99,5.0,0.75,2.03,6.29241558801056e-5,6.50340835727523e-11,0.2176491235533399,52.99799519979351,3.94945779110855e-5,3.30754347038278e-11,-0.2452003613521752,68.21588412344701
16.86,59.46,6.26,0.26,1.75,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16.86,19.07,4.66,0.45,1.62,2.53811127083194e-5,2.78255096725201e-11,0.2468777205748625,68.83422374348191,-999.0,-999.0,-999.0,-999.0
29.16,41.9,6.25,1.13,2.04,3.5374079799192e-5,6.51919961752766e-11,0.2275590184608319,57.16665232879711,-999.0,-999.0,-999.0,-999.0
19.33,27.76,7.29,1.18,2.19,2.71751219432666e-5,3.57387116960238e-10,0.1896028246215464,73.60023175531501,1.80054377821467e-5,2.11606558008252e-10,-0.2091355253596748,76.84153933952639
25.37,40.59,6.6,0.83,1.55,4.47423973339831e-5,7.64912160930697e-11,0.218921862135291,58.47349483966941,3.05959983724076e-5,4.18875819232005e-11,-0.2451675354203419,69.00001750097678
25.64,60.22,7.42,0.43,1.55,8.69073487859198e-5,1.11311095694062e-10,0.1991286168919852,61.04772013860568,4.58760772743727e-5,5.88949007127859e-11,-0.2264571048588162,55.235047299894816
25.64,76.95,4.06,0.28,1.78,0.000101711124980339,5.13048851770733e-11,0.2262375623395112,55.234674321274404,-999.0,-999.0,-999.0,-999.0
17.99,25.6,6.69,0.95,2.02,2.13010814041266e-7,2.13295193233549e-10,0.2157452456408489,88.4711198516587,1.73455186250715e-5,1.15227692377062e-10,-0.228204324564989,73.07126313372959
15.45,68.42,5.91,0.46,1.73,8.62171365727216e-5,3.66259514139507e-10,0.1794930537380748,68.49192470153912,5.44888289437086e-5,2.18964831486283e-10,-0.1913395975968044,68.37079685807451
20.74,53.44,7.39,0.37,1.77,7.09492336316651e-5,1.84387644630874e-10,0.1899889782690435,65.87868741569211,4.43819881546153e-5,3.77007813350446e-11,-0.2169216449315989,59.155801525773796
22.61,53.65,5.58,0.55,1.64,6.10737818717762e-5,7.96045398256275e-11,0.2119411921146171,56.99217989145639,3.83209382034074e-5,4.18529250575356e-11,-0.2439763494603385,68.41516682096498
27.22,55.36,4.76,0.86,1.97,4.61565358474163e-5,5.33619728211251e-11,0.2314875554447547,60.2869623713406,2.91723653934978e-5,2.76373355255849e-11,-0.2475249379455682,68.4612011467374
34.89,77.49,7.38,0.6,1.74,8.88358396188169e-5,8.24054404735154e-11,0.2062215808406703,56.71704387774079,5.04069167755858e-5,4.13322189558144e-11,-0.2421510215052601,68.16863735515952
26.12,25.9,6.28,0.61,1.75,2.93933367171602e-5,3.28443760316414e-11,0.2469718916938282,71.5893717091646,1.77033263632174e-5,1.72051227247585e-11,-0.2551175834364791,68.99339852493853
34.01,50.53,4.55,0.32,1.64,6.61760927162567e-5,2.75847112036464e-11,0.2433619673777105,67.45555444833018,3.73673198798814e-5,1.34150520269033e-11,-0.2532932073557703,65.81485959740832
30.14,75.8,5.89,1.08,2.14,6.04652140936747e-5,9.78059224562248e-11,0.2048414530424823,60.066071832635906,3.9458344677519e-5,4.93692640966494e-11,-0.2389782037814354,64.4846140257018
26.34,17.14,7.54,0.5,1.54,2.29090393098446e-5,2.37125282921418e-11,0.2481943553310198,68.78167917138109,1.38288685145101e-5,1.21690905537424e-11,-0.26178186931445,68.73909877506942
32.63,43.81,4.29,0.78,1.7,4.11231538925696e-5,2.53559341763991e-11,0.2371451662359533,50.56698670100959,2.51815916545979e-5,1.24293225032775e-11,-0.2566506930924797,66.58059202233058
26.6,23.05,7.43,0.23,2.16,3.13918852113347e-5,3.19637619568208e-11,0.2437925663488762,68.36960278381568,1.85944215499646e-5,1.64820707910432e-11,-0.2548400276448093,68.47118739553338
26.6,71.33,6.05,0.65,2.09,7.00081684115958e-5,1.05613104343639e-10,0.2009309967109584,60.55916988252691,4.33089479395371e-5,5.47231201777887e-11,-0.2301768271310689,56.50722656769372
30.47,56.86,6.49,1.19,2.16,4.49031255416944e-5,8.90548698394421e-11,0.212194892166903,60.2789062104952,2.97450229850985e-5,4.53467241823172e-11,-0.244423714384556,68.89843862374862
34.69,68.3,5.66,0.28,1.71,9.6879548999882e-5,4.73602296773719e-11,0.2298300821489983,58.4265790744577,5.80286126263105e-5,2.34816084304959e-11,-0.2470709349113819,67.46919792883921
18.2,59.74,6.11,0.8,1.9,6.101478308625e-5,3.57554144065119e-10,0.1814597340152153,69.30815398893802,3.83457212118904e-5,2.00176165984995e-10,-0.1958453710204349,69.2684508662001
