ResNet (GELU/32) | L:2.0 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36927 (Epoch 860)
ResNet (SiLU/128) | L:0.2 W:150 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.36928 (Epoch 880)
ResNet (GELU/32) | L:0.5 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36929 (Epoch 890)
ResNet (SiLU/128) | L:0.2 W:100 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.36931 (Epoch 870)
ResNet (SiLU/128) | L:2.0 W:150 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.36935 (Epoch 870)
ResNet (SiLU/128) | L:2.0 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36956 (Epoch 430)
ResNet (SiLU/128) | L:0.2 W:150 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.36960 (Epoch 790)
ResNet (GELU/32) | L:2.0 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36978 (Epoch 880)
ResNet (GELU/32) | L:2.0 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36984 (Epoch 860)
ResNet (SiLU/128) | L:0.5 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36986 (Epoch 500)
ResNet (GELU/32) | L:2.0 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.36998 (Epoch 860)
ResNet (GELU/32) | L:0.2 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.37003 (Epoch 870)
ResNet (GELU/32) | L:0.5 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.37007 (Epoch 870)
ResNet (GELU/32) | L:2.0 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.37012 (Epoch 870)
ResNet (SiLU/128) | L:0.5 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.37015 (Epoch 430)
ResNet (GELU/32) | L:0.5 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.37019 (Epoch 880)
ResNet (SiLU/32) | L:0.5 W:150 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37019 (Epoch 1420)
ResNet (GELU/32) | L:2.0 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.37023 (Epoch 880)
ResNet (GELU/32) | L:0.2 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.37028 (Epoch 910)
ResNet (GELU/32) | L:0 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.37028 (Epoch 900)
ResNet (GELU/32) | L:0 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.37028 (Epoch 900)
ResNet (GELU/32) | L:0 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.37028 (Epoch 900)
ResNet (GELU/32) | L:0 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.37028 (Epoch 900)
ResNet (GELU/32) | L:0 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.37028 (Epoch 900)
ResNet (GELU/32) | L:0 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.37028 (Epoch 900)
ResNet (GELU/32) | L:0 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.37028 (Epoch 900)
ResNet (GELU/32) | L:0 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.37028 (Epoch 900)
ResNet (GELU/32) | L:0 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.37028 (Epoch 900)
ResNet (SiLU/32) | L:2.0 W:150 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.37063 (Epoch 1410)
ResNet (SiLU/32) | L:2.0 W:50 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37067 (Epoch 1470)
ResNet (SiLU/32) | L:0.2 W:150 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.37071 (Epoch 1400)
ResNet (SiLU/128) | L:2.0 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.37071 (Epoch 440)
ResNet (GELU/32) | L:0.5 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.37074 (Epoch 860)
ResNet (SiLU/128) | L:0.5 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.37077 (Epoch 440)
ResNet (GELU/32) | L:0.2 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.37082 (Epoch 870)
