Lch,Wch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
9.96,27.01,0.59,1.83,7.48187241353393e-6,2.1692935342012e-10,0.2116758876951048,61.95932696675108,5.83059228086674e-6,4.26460456111834e-10,-0.1900165223892131,61.28290103043354
9.96,87.98,0.35,1.65,2.52929173031033e-5,5.74553215018321e-10,0.2141236464304984,60.84085977631359,1.982505987422e-5,6.46891009344196e-10,-0.2080564806143542,60.03428026415343
34.94,50.07,0.42,2.45,1.01486893621986e-5,6.57025446049758e-11,0.2198608625475268,61.850562011439614,1.11590186286075e-5,9.11093277807419e-11,-0.2070479256242405,59.06799108305499
13.8,70.69,0.78,1.61,1.77628135182352e-5,3.11927210749308e-10,0.2164488874540519,61.279379066771554,1.55183393933004e-5,8.74489200195402e-10,-0.1864225247136957,61.88842662794913
12.43,49.13,0.49,2.37,1.30933061388833e-5,3.25550848502953e-10,0.2100543555403592,62.09444113940163,1.10673162940164e-5,6.5522798001589e-10,-0.1871944574190807,61.618353349164266
23.87,59.23,1.4,1.33,1.12807742329298e-5,1.31579041678302e-10,0.2209908281127993,62.17119021087866,1.31493816119475e-5,7.85961350402374e-10,-0.1659244423221035,60.88167601923654
8.53,25.77,1.3,1.92,6.66036337520383e-6,7.68569391835018e-10,0.1934299813294715,66.78122268268255,5.55172071705388e-6,4.42750313858326e-9,-0.1372276617409837,64.99894748809119
34.77,60.96,1.42,1.95,9.4254720753181e-6,8.75584965402752e-11,0.2226599551973621,62.47701462013224,1.31566369533497e-5,6.7408791435987e-10,-0.1600564803917648,61.04244429423836
35.54,91.16,0.9,2.73,1.52935480331021e-5,1.26919438319864e-10,0.2211678784974106,62.334157255377775,1.97431760071528e-5,4.92013859861062e-10,-0.1780068594131806,61.19116046566947
44.43,98.58,0.64,2.42,1.64456723115601e-5,9.7341296101219e-11,0.2223690806598247,61.56139659868945,2.17962602450422e-5,1.95810351634695e-10,-0.1967715838291265,61.234421563646976
9.35,81.17,0.54,1.73,2.29917363655147e-5,8.28365369408458e-10,0.2073995304394814,63.269553375066565,1.80142877653984e-5,1.19739066637918e-9,-0.1930601881212279,60.049054463022586
43.32,88.58,1.47,2.03,1.18458660157578e-5,9.53772982802162e-11,0.2246924966216465,62.36708141314218,1.90431732750755e-5,7.72168591763788e-10,-0.1595730466737594,60.7648980898449
22.54,58.3,0.27,1.37,1.51652733100814e-5,1.07251131854807e-10,0.2210195085309158,60.85730009166412,1.29019808392949e-5,8.71792931831669e-11,-0.2240229967619918,58.715941911234
13.88,38.28,0.75,1.97,9.54622219237217e-6,1.85238852254146e-10,0.2148457314761362,60.900255205944845,8.43242530115171e-6,5.40864762193045e-10,-0.1830936984769356,62.85978591348491
24.33,82.81,0.97,1.9,1.65088902496724e-5,1.78209218468082e-10,0.2196413331337915,61.99340249675962,1.81943019286701e-5,5.79084420683056e-10,-0.1816818883879521,61.2804203886339
40.3,89.7,0.45,2.2,1.7176467290392e-5,9.61422691760334e-11,0.2211483769403124,61.31356510201441,1.98284637911051e-5,1.38093324608724e-10,-0.2069175795513579,58.96404621045966
20.14,84.48,1.38,2.21,1.67802337660272e-5,2.94285830500565e-10,0.2157439121445203,60.81730426647701,1.90460126009615e-5,2.8726647030339e-9,-0.148232146698894,62.37748762378281
31.41,29.88,0.75,2.02,5.84206769465818e-6,4.30373605839011e-11,0.2219906778483055,61.86505404455772,6.51886108211686e-6,1.03936502463199e-10,-0.1929347278303232,60.236014259219054
16.85,55.68,0.6,2.25,1.35564161511414e-5,2.00754262655262e-10,0.2156668464818106,61.14114768574823,1.23503675365008e-5,4.43051011202241e-10,-0.1911010710836962,59.60417079233492
23.04,39.79,0.21,2.3,9.84421674699164e-6,8.28854681119819e-11,0.2181942974270079,62.11416531572829,8.84314591823819e-6,7.66166378374675e-11,-0.2163990180263415,61.23971785806933
32.13,35.31,1.35,2.73,5.61972707363002e-6,5.96591479508918e-11,0.2212259505755815,62.14317421902099,7.38192557739083e-6,4.77823291588503e-10,-0.1576480671551744,60.212736163774004
37.71,96.86,0.32,2.11,2.02549592823859e-5,1.08178447267642e-10,0.2211719968435898,61.038410012582005,2.18574964003625e-5,1.18687507007824e-10,-0.2134084767041703,61.13096078309597
23.8,83.63,0.97,2.73,1.65370202471182e-5,2.13765860490809e-10,0.2173076131122805,61.36583228151994,1.87878107461479e-5,8.8947286572064e-10,-0.1730506352059469,59.506589908116666
10.07,19.77,0.36,2.5,5.51653779070872e-6,1.80823154161032e-10,0.2092640558151835,63.20863859034174,4.29751184225637e-6,2.80544276194418e-10,-0.1931826438990903,60.683202821390964
37.01,12.91,1.05,2.73,2.09875610892647e-6,1.66056698356258e-11,0.2220453701817204,62.36544734243549,2.64065997320528e-6,7.48838002572442e-11,-0.1752073399738151,60.21287417789411
7.99,87.89,0.47,2.72,2.46751870812929e-5,2.4520632760451e-9,0.1939529618366898,66.23366105516753,1.99428041184819e-5,4.35397861618245e-9,-0.1721977818059416,64.5126515867506
29.06,30.81,1.21,2.96,5.16639947396378e-6,6.18679504979733e-11,0.2188885886596854,61.63279896978166,6.30052875587075e-6,4.23561798311963e-10,-0.1596963670323036,60.9021008364503
25.19,26.05,0.64,1.93,5.80244729246667e-6,4.9704709770731e-11,0.2193753568651651,62.15775098285645,5.56772569002884e-6,9.00297059746016e-11,-0.1985216544053127,61.225553553049444
