DeepMLP (ELU/64) | L:0 W:150 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08546 (Epoch 430)
DeepMLP (ELU/64) | L:0 W:150 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08546 (Epoch 430)
ResNet (ELU/16) | L:0.5 W:150 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.08546 (Epoch 3030)
DeepMLP (ELU/64) | L:0.2 W:150 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08547 (Epoch 450)
DeepMLP (ELU/64) | L:0.2 W:100 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08548 (Epoch 420)
DeepMLP (ELU/64) | L:0.2 W:150 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08548 (Epoch 430)
DeepMLP (ELU/64) | L:0.2 W:100 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08550 (Epoch 440)
DeepMLP (ELU/64) | L:0.2 W:50 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08551 (Epoch 430)
DeepMLP (ELU/64) | L:0.2 W:50 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08551 (Epoch 450)
ResNet (ELU/16) | L:0.5 W:50 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.08552 (Epoch 2990)
DeepMLP (ELU/64) | L:0 W:50 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08552 (Epoch 710)
DeepMLP (ELU/64) | L:0 W:50 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.08552 (Epoch 710)
DeepMLP (ELU/64) | L:0 W:50 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08552 (Epoch 710)
DeepMLP (ELU/64) | L:0 W:100 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08552 (Epoch 710)
DeepMLP (ELU/64) | L:0 W:100 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.08552 (Epoch 710)
DeepMLP (ELU/64) | L:0 W:100 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08552 (Epoch 710)
DeepMLP (ELU/64) | L:0 W:150 R:200 LR:0.0005 WD:0.0001 --> Test Loss: 0.08552 (Epoch 710)
DeepMLP (ELU/64) | L:0 W:150 R:600 LR:0.0005 WD:0.0001 --> Test Loss: 0.08552 (Epoch 710)
DeepMLP (ELU/64) | L:0 W:150 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08552 (Epoch 710)
ResNet (ELU/16) | L:0.5 W:100 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.08553 (Epoch 3010)
DeepMLP (ELU/64) | L:0.5 W:150 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08554 (Epoch 440)
DeepMLP (ELU/64) | L:0.2 W:150 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08554 (Epoch 720)
DeepMLP (ELU/64) | L:0.2 W:100 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08554 (Epoch 710)
ResNet (ELU/16) | L:0.5 W:150 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.08554 (Epoch 2990)
DeepMLP (ELU/64) | L:0.2 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08555 (Epoch 380)
DeepMLP (ELU/64) | L:0.2 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08555 (Epoch 390)
DeepMLP (ELU/64) | L:0.2 W:50 R:1000 LR:0.0005 WD:0.0001 --> Test Loss: 0.08555 (Epoch 730)
DeepMLP (ELU/64) | L:0 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08555 (Epoch 380)
