size,test_mse,seed
439,0.103211410343647,43948
439,0.10717463493347168,43949
439,0.10020268708467484,43950
439,0.09664035588502884,43951
82,0.1630978137254715,8242
82,0.20750734210014343,8243
82,0.16208124160766602,8244
82,0.15458938479423523,8246
82,0.17600320279598236,8245
82,0.18643377721309662,8248
82,0.13088467717170715,8247
82,0.21395574510097504,8249
82,0.21148890256881714,8250
82,0.1478232592344284,8251
332,0.10216647386550903,33243
332,0.10156990587711334,33242
332,0.10749336332082748,33244
332,0.1065535917878151,33246
332,0.09533853083848953,33245
332,0.11042027920484543,33247
332,0.10042254626750946,33249
332,0.0942269116640091,33248
332,0.10414741933345795,33250
126,0.14324986934661865,12642
126,0.14322704076766968,12643
332,0.10516016185283661,33251
126,0.13388857245445251,12644
126,0.146177276968956,12645
126,0.14698441326618195,12646
126,0.14119458198547363,12647
126,0.12926428020000458,12649
126,0.12245651334524155,12648
126,0.13203991949558258,12650
126,0.15767024457454681,12651
580,0.10214091837406158,58042
580,0.09161865711212158,58044
580,0.09687481820583344,58043
580,0.0908881276845932,58045
580,0.09847530722618103,58046
580,0.09005510807037354,58047
580,0.0938684493303299,58048
580,0.10099046677350998,58049
580,0.08815812319517136,58050
580,0.10612434893846512,58051
382,0.09838715195655823,38242
382,0.1266455054283142,38243
382,0.10206330567598343,38244
382,0.11149299889802933,38245
382,0.10209637880325317,38246
382,0.11585143208503723,38247
382,0.10171972215175629,38249
382,0.09248949587345123,38248
382,0.09900286793708801,38250
382,0.12032587826251984,38251
666,0.09608110040426254,66642
666,0.08994486927986145,66643
666,0.0941983237862587,66645
666,0.09052945673465729,66644
666,0.09902951866388321,66646
666,0.09181961417198181,66647
666,0.09427569061517715,66648
666,0.09644297510385513,66649
666,0.09226246178150177,66650
766,0.09269600361585617,76642
666,0.09197384119033813,66651
766,0.09797215461730957,76643
766,0.08755496889352798,76644
766,0.09390846639871597,76645
766,0.09876779466867447,76646
766,0.09164319932460785,76647
766,0.08839870989322662,76648
766,0.09384360164403915,76649
766,0.09350503981113434,76651
766,0.09584047645330429,76650
1335,0.08683177083730698,133542
1335,0.0877925455570221,133544
1335,0.08589616417884827,133543
1335,0.08492244780063629,133545
1335,0.08820357173681259,133547
1335,0.08421527594327927,133546
1335,0.0862535610795021,133548
1335,0.08882959187030792,133550
1335,0.08752254396677017,133549
1335,0.08522619307041168,133551
1010,0.08791453391313553,101042
1010,0.0851006731390953,101043
1010,0.08822374045848846,101044
1010,0.08918963372707367,101047
1010,0.08613015711307526,101045
1010,0.08995983004570007,101046
1010,0.08909216523170471,101048
1010,0.08889106661081314,101049
1010,0.08686874806880951,101050
714,0.09734176844358444,71442
1010,0.0848063975572586,101051
714,0.093742236495018,71443
714,0.10565260797739029,71446
714,0.09544791281223297,71444
714,0.09456819295883179,71445
714,0.09609030932188034,71447
714,0.09523516148328781,71448
714,0.0945044681429863,71449
714,0.09963152557611465,71450
714,0.09726402163505554,71451
1161,0.08652933686971664,116142
1161,0.08756734430789948,116143
1161,0.08756133168935776,116144
1161,0.08702686429023743,116145
1161,0.08725966513156891,116146
